MasterId,Name,Address1,Address2,Address3,City,County,State,StateCode,PostalCode,Country,CountryCode,Latitude,Longitude
318560,Various Sites In Riverwoods Park,300 West & 5200 North,Riverwoods Research & Business Park,NULL,Provo,Utah County,Utah,UT,NULL,United States,US,40.303773,-111.662357
208856,The Sands,17249 & 17435 N. 7th St.,NULL,NULL,Phoenix,Maricopa,Arizona,AZ,85022,United States,US,33.64476,-112.065504
203149,The Willows and Seville Oaks,220 S. Semoran Blvd. In Winter Park and 3432 S.,Semoran Blvd. In Orlando,NULL,Orlando,Orange,Florida,FL,32822,United States,US,28.541461,-81.310733
477384,Former Shoney's / Current Lone Star Steakhouse,Route 22 and 25th Street,NULL,NULL,Palmer Twp.,Northampton,Pennsylvania,PA,NULL,United States,US,40.686345,-75.251763
314873,Lowe's Site,Routes 11 & 15 at Lori Lane,NULL,NULL,Selinsgrove,Snyder,Pennsylvania,PA,NULL,United States,US,40.828995,-76.841842
466033,Plaza Rancho Del Oro (Portion),"4120, 4140, 4160, 4170 & 4196 Oceanside Blvd",NULL,NULL,Oceanside,San Diego,California,CA,92056,United States,US,33.2067,-117.287
465763,Packing House & Packing House Square,"18180, 18200, 18210, 18220, 18300, 18340 & 18380 Yorba Linda Boulevard",NULL,NULL,Yorba Linda,Orange,California,CA,92886,United States,US,33.8884,-117.816
2519467,Lots 6R and 7R-1449 Acres at Pellissippi Place,Lots 6R & 7R 1449 Acres at Pellissippi Place,NULL,NULL,Alco,Blount,Tennessee,TN,37701,United States,US,35.835743,-83.970634
2519631,Industrial Condominium Units,"6120 & 6132 Brookshire Blvd, Units M, N & F",NULL,NULL,Charlotte,Mecklenburg,North Carolina,NC,28216,United States,US,35.286812,-80.905298
